,split_importance,gain_importance,perm_importance
trap_percent_with_wnv2,2320,35526.80015820265,-0.010330679017182865
Sunrise,707,24879.093454554677,0.009636193615284899
trap_percent_with_wnv,2830,21700.54152405262,-0.01379444824144888
DewPoint,513,9271.76345772203,0.0034907506965672964
day_of_year,287,8781.001044392586,-0.009327184913969989
Cool,170,7727.57250136137,-0.0017389967950439955
AvgSpeed,515,3825.569221707061,-0.0009290569451967489
WetBulb,184,2461.04963670671,-0.0020584007097070923
ResultSpeed,276,2400.4165919423103,-0.001557496401994446
Tmin,211,1130.8616999983788,-0.000410949366982738
BR,63,1059.6300502170052,0.0011441346772725403
Tavg,55,990.9744379520416,-0.0016832242244635865
year,83,474.30345034226775,0.0
TS,13,99.21757370978594,1.6431566957297862e-06
TSRA,20,62.21467995643616,-0.0002578560551502851
